,Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD),category
186,Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.5,14.5,22.0,Black,Sapphire,Chronograph,72 hours,"15,000",Watches
187,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.4,19.0,White,Sapphire,Chronograph,50 hours,"6,000",Watches
188,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,20.0,Black,Sapphire,Chronograph,48 hours,"5,000",Watches
189,Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44.0,13.05,24.0,Black,Sapphire,None,72 hours,"8,500",Watches
190,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,"9,000",Watches
191,Blancpain,Fifty Fathoms,Stainless Steel,NATO Strap,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,None,120 hours,"12,500",Watches
192,Bulgari,Octo Finissimo,Titanium,Leather,Automatic,30 meters,40.0,5.5,21.0,Black,Sapphire,None,55 hours,"10,000",Watches
193,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,Date,70 hours,"3,800",Watches
194,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,13.05,22.0,Black,Sapphire,Date,72 hours,"8,900",Watches
195,Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,25.0,Black,Sapphire,Chronograph,72 hours,"16,800",Watches
196,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.9,12.3,20.0,Silver,Sapphire,Date,44 hours,"6,900",Watches
197,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,"24,500",Watches
198,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.5,11.0,21.0,Silver,Sapphire,Date,40 hours,"19,500",Watches
199,Breguet,Classique,18k White Gold,Leather,Automatic,30 meters,39.0,8.65,20.0,Silver,Sapphire,Date,55 hours,"24,500",Watches
200,Piaget,Altiplano,18k Rose Gold,Leather,Manual,30 meters,38.0,6.0,20.0,White,Sapphire,None,43 hours,"20,800",Watches
201,Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"13,000",Watches
202,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,10.88,22.0,Black,Sapphire,Date,46 hours,"9,700",Watches
203,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42.0,14.05,22.0,Silver,Sapphire,Chronograph,50 hours,"7,400",Watches
204,Breitling,Superocean Heritage II,Stainless Steel,Rubber,Automatic,200 meters,44.0,14.2,22.0,Black,Sapphire,Date,70 hours,"4,300",Watches
205,Cartier,Santos de Cartier,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,20.0,Silver,Sapphire,Date,42 hours,"6,500",Watches
206,Omega,Speedmaster,Stainless Steel,Leather,Manual,50 meters,42.0,13.7,20.0,Black,Hesalite,Chronograph,48 hours,"5,500",Watches
207,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.4,20.0,Black,Sapphire,"GMT, Date",70 hours,"9,100",Watches
208,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.8,20.0,Silver,Sapphire,Date,70 hours,"7,500",Watches
209,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"20,900",Watches
210,IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60 meters,40.0,10.8,20.0,Black,Sapphire,Date,42 hours,"4,200",Watches
211,Patek Philippe,Calatrava,18k White Gold,Leather,Automatic,30 meters,39.0,8.6,20.0,Silver,Sapphire,Date,48 hours,"22,000",Watches
213,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,Date,70 hours,"3,600",Watches
214,Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36.0,12.5,20.0,Silver,Sapphire,Date,70 hours,"8,900",Watches
215,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.5,20.0,Black,Sapphire,Chronograph,60 hours,"6,800",Watches
217,Breitling,Superocean Heritage,Stainless Steel,Leather,Automatic,200 meters,42.0,14.35,20.0,Black,Sapphire,Date,38 hours,"4,400",Watches
218,Cartier,Ballon Bleu,18k Rose Gold,Leather,Automatic,30 meters,33.0,9.96,18.0,Silver,Sapphire,Date,42 hours,"13,000",Watches
219,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,39.0,8.5,20.0,Silver,Sapphire,Date,70 hours,"7,500",Watches
220,Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,200 meters,41.0,14.5,22.0,Black,Sapphire,GMT,70 hours,"4,500",Watches
221,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,19.0,White,Sapphire,Chronograph,50 hours,"6,900",Watches
222,Longines,HydroConquest,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,12.65,20.0,Black,Sapphire,Date,64 hours,"1,800",Watches
223,Oris,Divers Sixty-Five,Stainless Steel,Leather,Automatic,100 meters,40.0,12.9,20.0,Blue,Sapphire,Date,38 hours,"1,500",Watches
224,Hamilton,Khaki Field,Stainless Steel,NATO Strap,Automatic,100 meters,38.0,9.7,20.0,Black,Sapphire,None,80 hours,595,Watches
225,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,42.0,13.2,22.0,Black,Sapphire,Date,72 hours,"7,500",Watches
226,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,15.3,22.0,Black,Sapphire,Date,72 hours,"5,400",Watches
227,Patek Philippe,Calatrava,White Gold,Leather,Manual,30 meters,37.0,7.7,20.0,White,Sapphire,None,44 hours,"25,000",Watches
228,Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44.0,14.5,25.0,Black,Sapphire,Chronograph,72 hours,"15,000",Watches
229,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,38.0,12.6,20.0,Silver,Sapphire,Chronograph,50 hours,"7,500",Watches
230,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,"25,000",Watches
231,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,"18,000",Watches
232,Breguet,Classique,White Gold,Leather,Automatic,30 meters,39.0,8.65,21.0,Silver,Sapphire,None,55 hours,"20,000",Watches
233,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,42.0,12.8,22.0,Blue,Sapphire,Date,60 hours,"8,500",Watches
234,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,None,120 hours,"10,500",Watches
235,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Black,Sapphire,Date,54 hours,"9,000",Watches
236,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21.0,Blue,Sapphire,Date,55 hours,"51,000",Watches
237,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,"22,000",Watches
238,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,46.2,15.0,20.0,Black,Sapphire,Chronograph,68 hours,"7,500",Watches
239,Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,"14,500",Watches
240,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Silver,Sapphire,Date,60 hours,"21,500",Watches
241,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,Black,Sapphire,Chronograph,50 hours,"7,500",Watches
242,Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,22.0,Black,Sapphire,Chronograph,72 hours,"15,000",Watches
243,Breguet,Classique,18k Rose Gold,Leather,Automatic,30 meters,39.0,10.2,22.0,Silver,Sapphire,None,40 hours,"18,000",Watches
245,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,10.88,22.0,Blue,Sapphire,Date,54 hours,"11,500",Watches
246,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,Date,72 hours,"8,000",Watches
247,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,14.75,22.0,Black,Sapphire,None,70 hours,"3,800",Watches
248,Panerai,Luminor,Stainless Steel,Leather,Manual,100 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,"6,400",Watches
249,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,Date,60 hours,"8,900",Watches
250,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,"20,400",Watches
251,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,21.0,Blue,Sapphire,Date,60 hours,"22,000",Watches
252,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21.0,Blue,Sapphire,Date,45 hours,"62,500",Watches
253,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"14,900",Watches
254,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,20.0,Silver,Sapphire,Chronograph,42 hours,"5,900",Watches
255,Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,40.0,9.35,20.0,Silver,Sapphire,Date,64 hours,"1,500",Watches
256,Montblanc,Heritage,Stainless Steel,Leather,Automatic,50 meters,40.0,9.85,20.0,Black,Sapphire,Date,38 hours,"2,700",Watches
257,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,Black,Sapphire,Chronograph,50 hours,"6,500",Watches
258,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,11.8,21.0,Blue,Sapphire,Date,70 hours,"7,800",Watches
259,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.75,20.0,Black,Sapphire,"Chronograph, Date",48 hours,"5,300",Watches
260,Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.5,22.0,Blue,Sapphire,Chronograph,42 hours,"5,900",Watches
261,Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,44.0,14.21,22.0,Blue,Sapphire,Date,38 hours,"3,800",Watches
262,Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,42.0,13.0,22.0,Silver,Sapphire,Date,42 hours,"7,500",Watches
263,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.5,20.0,White,Sapphire,Date,38 hours,"6,200",Watches
264,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"GMT, Date",70 hours,"9,500",Watches
265,Omega,Aqua Terra,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,13.0,20.0,Silver,Sapphire,Date,60 hours,"4,700",Watches
266,Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,12.5,20.0,Black,Sapphire,Date,38 hours,"2,700",Watches
267,Breitling,Avenger II,Stainless Steel,Rubber,Automatic,300 meters,43.0,16.5,22.0,Black,Sapphire,"Chronograph, Date",42 hours,"4,600",Watches
268,Cartier,Santos,Stainless Steel,Leather,Automatic,100 meters,35.1,8.83,22.0,Silver,Sapphire,Date,42 hours,"5,300",Watches
269,Rolex,Daytona,Yellow Gold,Leather,Automatic,100 meters,40.0,12.4,20.0,Ivory,Sapphire,Chronograph,72 hours,"39,500",Watches
270,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Sapphire,Chronograph,48 hours,"5,400",Watches
271,TAG Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.0,22.0,Blue,Sapphire,Chronograph,42 hours,"6,550",Watches
273,Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,42.0,13.32,20.0,Blue,Sapphire,Date,38 hours,"3,850",Watches
274,Patek Philippe,Calatrava,White Gold,Leather,Automatic,30 meters,39.0,8.25,20.0,Silver,Sapphire,None,48 hours,"25,800",Watches
275,Tudor,Black Bay,Stainless Steel,Fabric,Automatic,200 meters,41.0,11.9,22.0,Black,Sapphire,Date,70 hours,"4,100",Watches
276,Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"12,900",Watches
277,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,None,60 hours,"6,900",Watches
278,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,"19,800",Watches
279,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.0,20.0,Black,Sapphire,Date,70 hours,"8,100",Watches
280,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.5,20.0,Black,Sapphire,Date,70 hours,"6,500",Watches
281,Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,"5,400",Watches
282,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,55 hours,"44,000",Watches
283,Cartier,Ballon Bleu,18k Rose Gold,Leather,Automatic,30 meters,33.0,9.96,18.0,Silver,Sapphire,Date,42 hours,"13,200",Watches
284,Hublot,Classic Fusion,18k King Gold,Rubber,Automatic,50 meters,42.0,10.5,22.0,Blue,Sapphire,None,42 hours,"20,200",Watches
285,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"24,800",Watches
286,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,12.8,22.0,Black,Sapphire,Date,42 hours,"4,800",Watches
287,Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,200 meters,41.0,14.5,22.0,Black,Sapphire,GMT,70 hours,"4,000",Watches
288,Breguet,Classique,18k White Gold,Leather,Manual,30 meters,40.0,6.95,20.0,White,Sapphire,None,65 hours,"22,500",Watches
289,Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,"12,500",Watches
290,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,22.0,Black,Sapphire,Chronograph,42 hours,"6,900",Watches
291,Panerai,Luminor,Titanium,Leather,Automatic,100 meters,44.0,15.65,24.0,Black,Sapphire,None,72 hours,"7,500",Watches
292,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,"Date, Stopwatch",60 hours,"25,000",Watches
293,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,"Date, Moon Phase",45 hours,"70,000",Watches
294,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,10.8,20.0,Black,Sapphire,"Date, Stopwatch",42 hours,"5,500",Watches
295,Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,"12,000",Watches
296,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,44.0,14.4,22.0,Blue,Sapphire,"Date, Power Reserve",60 hours,"7,500",Watches
297,Breguet,Classique,Rose Gold,Leather,Automatic,30 meters,38.0,8.25,20.0,Silver,Sapphire,None,45 hours,"20,000",Watches
298,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,22.0,Black,Sapphire,None,46 hours,"8,500",Watches
299,Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,42.0,14.1,24.0,Black,Sapphire,"Date, Chronograph",42 hours,"12,000",Watches
300,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,100 meters,42.0,14.05,20.0,Silver,Sapphire,"Date, Chronograph",50 hours,"6,000",Watches
301,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,"12,000",Watches
302,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,"22,000",Watches
303,Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,10.5,22.0,Blue,Sapphire,Date,42 hours,"8,500",Watches
304,Panerai,Luminor Marina,Stainless Steel,Leather,Manual,300 meters,44.0,15.65,24.0,Black,Sapphire,None,56 hours,"7,200",Watches
305,Breguet,Classique,18K White Gold,Leather,Manual,30 meters,40.0,6.1,20.0,Silver,Sapphire,None,65 hours,"16,000",Watches
307,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,42.2,12.6,22.0,Blue,Sapphire,Date,60 hours,"8,900",Watches
308,IWC,Portugieser Chronograph,Stainless Steel,Leather,Automatic,30 meters,41.0,13.1,20.0,White,Sapphire,Chronograph,46 hours,"7,600",Watches
309,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,Date,45 hours,"57,000",Watches
310,Montblanc,1858 Geosphere,Titanium,Leather,Automatic,100 meters,42.0,12.8,22.0,Black,Sapphire,GMT,42 hours,"6,500",Watches
311,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11.0,22.0,Blue,Sapphire,Date,60 hours,"21,000",Watches
312,Zenith,Chronomaster El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,20.0,Silver,Sapphire,Chronograph,50 hours,"6,000",Watches
313,Rolex,Daytona,18k Yellow Gold,Leather,Automatic,100 meters,40.0,12.4,20.0,Champagne,Sapphire,Chronograph,72 hours,"29,500",Watches
314,Audemars Piguet,Royal Oak,Rose Gold,Rose Gold,Automatic,50 meters,37.0,9.8,18.0,Blue,Sapphire,None,60 hours,"36,500",Watches
315,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,"51,000",Watches
316,IWC,Portuguese,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22.0,White,Sapphire,Date,60 hours,"8,800",Watches
317,Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,"13,500",Watches
318,Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44.0,14.5,22.0,Black,Sapphire,Chronograph,72 hours,"19,500",Watches
319,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,43.0,12.6,22.0,Blue,Sapphire,Date,60 hours,"7,000",Watches
320,Breguet,Classique,18k White Gold,Leather,Manual,30 meters,38.0,7.45,20.0,Silver,Sapphire,None,65 hours,"23,000",Watches
321,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,25.0,Black,Sapphire,Date,46 hours,"9,500",Watches
322,Piaget,Altiplano,18k White Gold,Leather,Manual,30 meters,40.0,6.36,20.0,Silver,Sapphire,None,43 hours,"18,500",Watches
323,Vacheron Constantin,Patrimony,18k Rose Gold,Leather,Manual,30 meters,42.0,7.65,20.0,Silver,Sapphire,None,65 hours,"22,500",Watches
324,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,22.0,Black,Sapphire,"Date, GMT",72 hours,"7,500",Watches
325,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,Date,60 hours,"6,500",Watches
326,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,"20,000",Watches
327,Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44.0,14.5,26.0,Black,Sapphire,Chronograph,72 hours,"12,000",Watches
328,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,"6,500",Watches
329,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,11.43,22.0,Black,Sapphire,Chronograph,48 hours,"6,200",Watches
330,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,60 hours,"15,000",Watches
331,Piaget,Altiplano,White Gold,Leather,Manual,30 meters,40.0,6.36,20.0,Silver,Sapphire,None,44 hours,"22,000",Watches
332,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,22.0,Black,Sapphire,Chronograph,50 hours,"5,500",Watches
333,Breguet,Classique,White Gold,Leather,Automatic,30 meters,39.0,10.2,22.0,Silver,Sapphire,None,45 hours,"19,000",Watches
334,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,None,70 hours,"3,500",Watches
335,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.5,20.0,Blue,Sapphire,"Date, Cyclops",70 hours,"7,400",Watches
336,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,"5,000",Watches
337,Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,20.0,Silver,Sapphire,Date,42 hours,"6,200",Watches
338,TAG Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,43.0,12.5,21.0,Black,Sapphire,Date,38 hours,"3,100",Watches
339,Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,42.0,13.3,20.0,Blue,Sapphire,Date,38 hours,"4,100",Watches
340,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,13.05,24.0,Black,Sapphire,None,72 hours,"6,500",Watches
341,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,Date,70 hours,"3,800",Watches
342,Zenith,Elite Classic,Stainless Steel,Leather,Automatic,50 meters,39.0,8.15,20.0,Silver,Sapphire,Date,50 hours,"4,900",Watches
343,Longines,Conquest Classic,Stainless Steel,Leather,Automatic,50 meters,40.0,10.75,20.0,Silver,Sapphire,Date,54 hours,"1,850",Watches
344,Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50 meters,42.0,11.4,22.0,White,Sapphire,"Date, Moonphase",42 hours,"3,900",Watches
345,Baume & Mercier,Clifton Baumatic,Stainless Steel,Leather,Automatic,50 meters,40.0,10.3,20.0,Silver,Sapphire,Date,120 hours,"2,750",Watches
346,Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,41.0,11.8,20.0,Blue,Sapphire,Date,70 hours,"9,500",Watches
347,Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,13.75,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,"5,350",Watches
348,Breitling,Superocean Heritage,Stainless Steel,Stainless Steel,Automatic,200 meters,44.0,14.2,22.0,Blue,Sapphire,Date,38 hours,"3,250",Watches
350,Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.0,22.0,Blue,Sapphire,Chronograph,40 hours,"4,950",Watches
351,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.5,20.0,Silver,Sapphire,"Date, Moonphase",70 hours,"6,500",Watches
352,Panerai,Luminor,Titanium,Rubber,Manual,300 meters,44.0,15.6,24.0,Black,Sapphire,None,72 hours,"8,500",Watches
353,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"27,000",Watches
354,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,20.0,Silver,Sapphire,Chronograph,46 hours,"7,250",Watches
355,Patek Philippe,Calatrava,18K White Gold,Leather,Manual,30 meters,38.0,8.25,20.0,White,Sapphire,None,44 hours,"25,000",Watches
356,Bell & Ross,BR 03-92,Ceramic,Rubber,Automatic,100 meters,42.0,9.8,24.0,Black,Sapphire,None,40 hours,"3,800",Watches
357,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.5,20.0,Silver,Sapphire,"Date, Cyclops Lens",70 hours,"8,000",Watches
358,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,"4,500",Watches
359,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,Date,45 hours,"52,000",Watches
360,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"28,500",Watches
361,IWC,Pilot's Watch Mark,Stainless Steel,Leather,Automatic,60 meters,41.0,12.5,20.0,Black,Sapphire,"Date, Chronograph",44 hours,"6,800",Watches
362,Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,42.0,14.1,24.0,Black,Sapphire,Chronograph,72 hours,"16,000",Watches
363,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,Black,Sapphire,Chronograph,50 hours,"6,500",Watches
364,Breguet,Classique,18K White Gold,Leather,Automatic,30 meters,39.0,8.65,20.0,Silver,Sapphire,None,40 hours,"19,000",Watches
365,Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"13,500",Watches
366,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,25.0,Black,Sapphire,Date,46 hours,"8,000",Watches
367,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43.0,12.48,23.0,Silver,Sapphire,None,68 hours,"10,000",Watches
368,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"Date, GMT",70 hours,"9,700",Watches
369,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21.0,Blue,Sapphire,Date,45 hours,"29,800",Watches
